,Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,n_PCA,Fator_balanc,Normalizacao
179,ExtraTreesClassifier,0.7450780719619824,0.6096956388999788,0.6096956388999788,0.7207987551693541,1.014005184173584,5,0.37,SIM
180,LinearSVC,0.7532247114731839,0.6096474953617811,0.6096474953617811,0.7242560873120752,0.3700141906738281,5,0.37,SIM
181,KNeighborsClassifier,0.7315003394433129,0.6076372090838636,0.6076372090838636,0.7135301757718078,0.2279980182647705,5,0.37,SIM
182,CalibratedClassifierCV,0.7559402579769179,0.6042847748996031,0.6042847748996031,0.722227559714609,1.4117507934570312,5,0.37,SIM
183,RidgeClassifier,0.7539035980991174,0.6024923087762147,0.6024923087762148,0.7203937592191042,0.024997234344482422,5,0.37,SIM
184,NuSVC,0.758316361167685,0.6006951457222705,0.6006951457222705,0.7208485857442045,3.40598201751709,5,0.37,SIM
185,RidgeClassifierCV,0.7539035980991174,0.5968783025292971,0.5968783025292971,0.7169152465517271,0.025999069213867188,5,0.37,SIM
186,SVC,0.758316361167685,0.5958831403677697,0.5958831403677697,0.7176897412905151,2.887000799179077,5,0.37,SIM
187,DecisionTreeClassifier,0.6822810590631364,0.5952631455343933,0.5952631455343933,0.6822810590631364,0.07799625396728516,5,0.37,SIM
188,ExtraTreeClassifier,0.6761710794297352,0.5822667386862685,0.5822667386862685,0.6744325275563918,0.029000520706176758,5,0.37,SIM
189,DummyClassifier,0.6126951799049559,0.5076213569432376,0.5076213569432375,0.613081259539202,0.01900339126586914,5,0.37,SIM
190,NearestCentroid,0.7040054310930075,0.7099545571968718,0.7099545571968717,0.7193347236710637,0.021000146865844727,5,0.37,NAO
191,Perceptron,0.7505091649694501,0.651902256875132,0.6519022568751321,0.7415481333650709,0.02402043342590332,5,0.37,NAO
192,PassiveAggressiveClassifier,0.7321792260692465,0.645795072919847,0.645795072919847,0.7284225126027132,0.02899909019470215,5,0.37,NAO
193,QuadraticDiscriminantAnalysis,0.7355736591989138,0.6408961743500623,0.6408961743500623,0.728901453080467,0.019997119903564453,5,0.37,NAO
194,LGBMClassifier,0.7589952477936185,0.6308330006340856,0.6308330006340856,0.737663440474234,0.21399617195129395,5,0.37,NAO
195,RandomForestClassifier,0.7505091649694501,0.6282432305488364,0.6282432305488362,0.7322381930514874,1.8179831504821777,5,0.37,NAO
196,XGBClassifier,0.7471147318397827,0.6267261219792866,0.6267261219792866,0.7298404565803761,0.8240008354187012,5,0.37,NAO
197,LinearDiscriminantAnalysis,0.7556008146639511,0.6241028862638266,0.6241028862638266,0.7328135919311649,0.03301095962524414,5,0.37,NAO
198,ExtraTreesClassifier,0.7494908350305499,0.6215324910171203,0.6215324910171203,0.7286618141341659,0.9380018711090088,5,0.37,NAO
199,KNeighborsClassifier,0.7396469789545146,0.6208220802705432,0.6208220802705432,0.7234567667785,0.14699554443359375,5,0.37,NAO
200,LabelSpreading,0.7471147318397827,0.6207111152861605,0.6207111152861605,0.7271266466686129,6.012995481491089,5,0.37,NAO
201,LabelPropagation,0.7450780719619824,0.6189186491627722,0.6189186491627722,0.7253037538202087,3.662121534347534,5,0.37,NAO
202,LogisticRegression,0.754582484725051,0.617793147178319,0.617793147178319,0.7291881636981539,0.03199958801269531,5,0.37,NAO
203,GaussianNB,0.7440597420230821,0.6158169136469317,0.6158169136469318,0.7233554392947715,0.02600550651550293,5,0.37,NAO
204,AdaBoostClassifier,0.7535641547861507,0.6078744040769357,0.6078744040769357,0.7234019273348868,0.47300100326538086,5,0.37,NAO
205,BaggingClassifier,0.7393075356415478,0.6045501514760104,0.6045501514760104,0.7156210228362908,0.4140026569366455,5,0.37,NAO
206,LinearSVC,0.7532247114731839,0.603632488668655,0.6036324886686549,0.7208181883563193,0.38700008392333984,5,0.37,NAO
